# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection sort function
# Column 3 = Avg time for BinSearchCollection sort function
# Column 4 = Avg time for HashTableCollection sort function
# All times are measured in microseconds
0 0.00 0.00 0.00
1024 0.54 0.08 0.46
2048 1.73 0.12 0.87
3072 3.08 0.21 1.25
4096 5.14 0.25 1.72
5120 7.55 0.27 2.29
6144 10.79 0.45 2.90
7168 15.97 0.46 3.40
8192 18.80 0.49 4.06
9216 22.67 0.54 4.39
10240 27.84 0.53 4.76
11264 33.53 0.82 5.66
12288 39.19 0.87 6.03
13312 47.51 0.87 6.82
14336 52.72 0.89 7.46
15360 60.34 0.94 7.94
16384 69.14 0.98 8.69
17408 79.81 0.98 8.40
18432 85.77 1.02 10.11
19456 96.98 1.03 9.73
20480 106.55 1.09 12.03
21504 115.37 1.52 12.19
22528 128.41 1.58 13.04
23552 143.08 1.70 14.09
24576 151.51 1.61 18.37
25600 165.50 1.65 18.10
26624 180.34 1.75 15.56
27648 189.97 1.75 16.18
28672 206.37 3.14 16.69
29696 224.13 1.96 18.95
30720 232.13 1.89 17.82
31744 250.01 1.90 18.21
32768 263.90 1.87 22.71
33792 280.04 3.00 19.74
34816 300.46 2.55 20.21
