# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection find-value function
# Column 3 = Avg time for BinSearchCollection find-value function
# Column 4 = Avg time for HashTableCollection find-value function
# All times are measured in microseconds
0 0.00 0.00 0.00
1024 0.00 0.00 0.00
2048 0.06 0.05 0.05
3072 0.18 0.22 0.18
4096 0.17 0.12 0.18
5120 0.14 0.06 0.17
6144 0.00 0.00 0.00
7168 0.22 0.19 0.23
8192 0.56 0.57 0.59
9216 0.36 0.27 0.41
10240 0.31 0.11 0.33
11264 0.00 0.00 0.00
12288 0.39 0.33 0.38
13312 1.03 0.97 1.04
14336 0.54 0.44 0.66
15360 0.44 0.17 0.48
16384 0.00 0.00 0.00
17408 0.55 0.46 0.60
18432 1.19 1.12 1.20
19456 0.82 0.69 0.97
20480 0.59 0.21 0.65
21504 0.00 0.00 0.00
22528 0.71 0.60 0.73
23552 1.33 1.28 1.41
24576 0.94 0.76 1.22
25600 0.78 0.28 0.88
26624 0.00 0.00 0.00
27648 0.93 0.80 0.91
28672 2.10 1.99 2.17
29696 1.13 0.93 1.45
30720 0.89 0.36 1.04
31744 0.00 0.00 0.00
32768 1.14 0.92 1.19
33792 2.33 2.20 2.38
34816 1.27 1.08 1.69
